"Contract No","Title","DAC Code","Organisation","Organisation Nationality","Country or Region","Action location","Amount in Euro","EC financing","Total cost in Euro","Duration","Duration Unit","Year"
161293,"Innovación institucional en gobiernos intermedios: la
Regionalización como un instrumento clave para promover
democracias de proximidad",-15110,"REPUBLICA ARGENTINA","Argentina","Latin America Countries","Argentina, Provincia de Santa Fe
El Salvador, Área Metropolitana de San Salvador 
Peru, Regional de Arequipa
Spain, Diputación de Barcelona

",2881364,80,3601705,36,"M",2008
161302,"Cohesion, inclusion y desarrollo social a traves del turismo sostenible. Fronteras Turisticas.",43030,"REPUBBLICA ITALIANA","Italy","Latin America Countries","1. Argentina: Provincia de Jujuy.
2. Bolivia: Provincia de Pacajes (Mancomunidad de La Paz). 
3. Perú: Mancomunidad de Municipios de Gran Tierra de los Lipez. 4. Perú: Región Departamental de Tarata.
5. Italia: Provincia di Frosinone. ",1900000,79,2401418,36,"M",2008
161304,"MELGODEPRO: modelo Euro-latinoamericano de gobernanza local para el desarrollo productivo",43030,"AUNTAMIENTO DE ALCORCON","Spain","All Countries","Se desarrollará en 4 localidades latinoamericanas: Ciudad de Pimampiro en Ecuador, Ciudad de Nejapa en el Salvador,  Municipio de Curahuara de Carangas (departamento de Oruro, en Bolivia), la ciudad de Valparaíso en la provincia de Zacateca en México. La transferencia de experiencia se hará desde el ayuntamiento de Alcorcón (Comunidad de Madrid, España) y desde la Cámara Municipal San Joao de Madeira en Porto, Portugal.",1754434,80,2193042,48,"M",2008
161321,"INCA: Promotion of Internationalisation in Central America",11420,"UNIVERSIDAD DE ALICANTE","Spain","Latin America Countries","University of Alicante (Applicant and Administrative Coordinator, Spain) Instituto Tecnológico de Costa Rica (Scientific Coordinator, Costa Rica), Universidad Nacional Autonoma de Honduras (Honduras), Universidad Technológica de Honduras (Honduras), Universidad Católica ¿Redenptoris Mater¿ -UNICA (Nicaragua), Universidad Nacional Autónoma de Nicaragua, León, (Nicaragua), Universidad Tecnológica de El Salvador, (El Salvador), Universidad de El Salvador, (El Salvador), Universidad Latinoamericana ULACIT, (Costa Rica), Universidad Católica Santa Maria la Antigua, (Panamá), Universidad Tecnológica de Panamá, (Panamá). Universidad del Valle de Guatelama (Guatemala), Universidad de San Carlos de Guatemala (Guatemala), Université Pierre Mendès France Grenoble-II (France). 
Associates: CEPES (Centro Estudios para el Perfeccionamiento de la Educación Superior), UNIVERSIA (webspace for Spanish and Latin American universities), and CSUCA (Consejo Superior Universitario Centroamericano).
",812389.37,80,1015486.71,36,"M",2008
161322,"Estrategias de desarrollo local incluyentes y participativas.",15140,"AYUNTAMIENTO DE IRUN","Spain","Latin America Countries","ESPANA: Ayuntamiento de Irun
CHILE: Región de Arica y Parinacota
PERU: Región de Tacna
MEXICO: Ayuntamiento de Zapotlán el Grande
HONDURAS: Municipalidad de Santa Rosa de Copán
ESPAÑA: Comunidad Autónoma de Castilla-León",1527520,79,1927000,48,"M",2008
161350,"INNOVA-CESAL",11420,"UNIVERSIDAD VERACRUZANA","Mexico","Latin America Countries","Universidad Nacional de Cuyo (Argentina)
Universidad de Costa Rica (Costa Rica) 
Univerisdad Industrial de Santander (Colombia)
Colegio Mayor de Nuestra Señora del Rosario (Colombia) 
Institute of Education, University of London (Reino Unido)
Université Paris 12 Val de Marne (Francia)",799951,80,999939,28,"M",2008
161358,"Reform and Development of Masters programs ''Animal Science'' at 7 Universities in 4 Latin American countries",11420,"UNIVERSITAT FUR BODENKULTUR WIEN","Austria","Latin America Countries","Argentina: Nort-East Region: Catamarca
Bolivia: Andean Highlands: La Paz and Cochabamba
Mexico: Arid zone in the North: Durango; Peninsula
Yucatan: Merida
Peru: Andean Highlands: Lima and Huancavelica",1025444,80,1282229,36,"M",2008
161394,"La inter-municipalidad: una herramienta eficaz para la cohesión social y territorial en America Latina.",43030,"ESTADOS UNIDOS MEXICANOS","Mexico","Latin America Countries","¿	Argentina: Ciudad de San Miguel de Tucumán y aglomerado peri-urbano definido como el Gran San Miguel, Área Metropolitana de Tucumán.
¿	Bolivia: Mancomunidad del Norte Paceño, compuesta de ocho municipalidades
¿	España: Ayuntamiento de San Sebastián de los Reyes, asociando el Consorcio Noroeste de Madrid
¿	Francia: Departamento de los Altos Pirineos
¿	Guatemala: Mancomunidad de Huista, actualmente integrada por nueve municipios de la región noroccidente del departamento de Huehuetenango
¿	México: Estado de Michoacán, mancomunidad de municipios de Gabriel Zamora, Nuevo Trecho, Mugica y Paracuaro. 
¿	Nicaragua: Municipio de Tuma la Dalia, asociando cuatro Municipios de Peñas Blancas del Norte en la inter-municipalidad AMUPEBLAN
",2240000,80,2800202,48,"M",2008
161433,"Politicas locales de prevención de la violencia en àreas urbanas marginales.",43030,"REPUBLICA FEDERATIVA DO BRASIL","Brazil","Latin America Countries","Brasil, Estado de Pernambuco, Recife
Peru, Region Loreto, Iquitos
Uruguay, Intendencia de Paysandú
Italia, Comune di Bergamo
",1942800,80,2428500,48,"M",2008
161449,"VERTEBRALCUE",11420,"ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA","Italy","Latin America Countries","Argentina,  Bolivia, Brasil, Chile, Colombia, Costa Rica, Ecuador, Mexico, Paraguay, Peru, Uruguay, Venezuela, Austria, Italy, Portugal, Spain, Finland. 
",3000000,80,3750000,36,"M",2008
161502,"RESSOC-Emprendeturismo social y ecogestión de residuos urbanos",43030,"MANCOMUNITAT DE MUNICIPIS DE L AREA METROPOLITANA DE BARCELONA","Spain","Latin America Countries","1. España.Mancomunidad de Municipios del Área Metropolitana de Barcelona.
2. El Salvador. Área Metropolitana de San Salvador
3. Municipios de San Salvador, Ayutuxtepeque, Cuscatan-cingo y Mejicanos.
4. Perú.  Municipalidad Provincial  del Callao.
5. Municipios de El Callao, Ventanilla, Carmen de la Legua y La Punta. 
6. Nicaragua.Municipio de Managua. 
7. Francia. Municipio de Toulouse
8. Uruguay. Municipio de Montevideo 
",2261927.2,80,2827409,42,"M",2008
164086,"LA INTERNACIONALIZACION DE LAS PYLES DE CENTROAMERICA
MEXICO Y CUBA COMO MOTOR DEL DESARROLLO SOCIO-ECONOMICO
",25010,"NACIONAL FINANCIERA SNC","Mexico","Latin America Countries","Costa Rica,  Cuba*, El Salvador, Guatemala, Honduras, México, Nicaragua y Panamá 
* La incorporacion de Cuba depende del estado de las relaciones bilaterales UE-Cuba",13995431.11,80,17494288.89,48,"M",2008
164089,"INTERNACIONALIZACION Y COMPETITIVIDAD DE LAS PYMES DEL MERCOSUR, CHILE Y VENEZUELA PARA UN DESARROLLO SUSTENTABLE",25010,"CONFEDERACAO NACIONAL DA INDUSTRIAASSOCIACAO","Brazil","South America Region","Argentina: provincias de Santa Fe, Buenos Aires, Córdoba, Mendoza, Tucumán, Misiones, Corrientes, Santiago del Estero, San Juan, Jujuy, Salta, Entre Ríos, Patagonia (Río Negro, Neuquén Chubut), y Ciudad Autonoma de Buenos Aires, en las siguientes localidades: Las Parejas, Rafaela, Anstrong, Las Rosas, Tortugas, Arequito, Rosario, Esperanza, Bustinza, Marco Juarez, San Justo, Unión, Río Segundo, Juarez Celman, Gran Buenos Aires, Posadas, Oberá, Puerto Rico Santo Tomé, Iguazú, Ituzaingo, Concordia, Nogoyá, Alto valle de Río Negro, Plottier, Senillosa, San Martín de los Andes, Los Antiguos, Tafil Viejo.
Brasil: Regiones Centro-Oeste, Nordeste, Norte, Sudeste, Sur.
Chile: Desierto de Atacama, Valparaíso, Santiago,  Isla de Pascua, Región del Bio-Bio, Región de la Araucanía, Región de Los Lagos y Patagonia; y Subsectores estratégicos del sector Alimentos.
Paraguay: Departamento de Central, San Pedro, Cordillera,  Paraguari Caaguazú, Itapúa y Ñeembucú. 
Uruguay: Todo el territorio nacional.
Venezuela: estados de Miranda, Caracas, Aragua, Carabobo, Táchira, Bolívar, Trujillo, Zulia, Lara, Yaracuy, Nueva Esparta.",14999999.97,80,18749999.97,48,"M",2008
164094,"Modelo de articulación institucional para la
internacionalización de PyMEs de la región andina",25010,"CAMARA DE INDUSTRIA COMERCIO Y SERVICIOS Y TURISMO DE SANTA CRUZ","Bolivia","South America Region","Bolivia: Santa Cruz, Cochabamba, La Paz, Tarija, Chuquisaca, Beni, Pando, Oruro y Potosí; 
Colombia: Bogotá, Cartagena, Bucaramanga, Bolívar, Santander, Antioquia, Atlántico y Valle del Cauca;
Ecuador: Quito, Ambato Carchi, Imbabura, Pichincha, Cotopaxi, Tungurahua, Chimborazo, Bolívar, Cañar, Azuay, Loja, Esmeraldas, Manabí, Santo Domingo, Guayas y El Oro; 
Perú: Lima, Piura, Lambayeque (Chidayo), La libertad (Trujillo), Junín (Huancayo), Arequipa y Ancash ",11000000,80,13750000,36,"M",2008
169068,"Extending and Strengthening RedCLARA as e-infrastructure for Collaborative Research and Support to the Development (ALICE II)",22020,"COOPERACION LATINO AMERICANA DE REDES AVANZADAS ASOCIACION","Uruguay","Latin America Countries","ALICE has successfully established the first Latin American Research and Education Network, RedCLARA. RedCLARA interconnects the National Research and Education Networks (NRENs) of the following 12 Latin American beneficiaries: Argentina, Brazil, Chile, Colombia, Ecuador, El Salvador, Guatemala, Mexico, Panama, Peru, Uruguay and Venezuela. RedCLARA offers direct connectivity to the European GEANT2 and the American Internet2 networks. ",12000000,67,18000000,45,"M",2008
169157,"THE SAPUVETNET III PROJECT: Contributing to the
Millennium Development Goals through the One Health Concept",11420,"UNIVERSIDADE DE EVORA","Portugal","Latin America Countries","United Kingdom, Netherlands, Italy, Portugal, Spain,
Colombia, Costa Rica, Cuba, Peru, Nicaragua,
Argentina, Brazil, Chile, México and Uruguay",810623,76,1072753,36,"M",2008
169376,"Latin American Intellectual Property Network (PILA)",11420,"FUNDACION GENERAL DE LA UNIVERSIDADDE ALICANTE","Spain","Latin America Countries","Latin America ¿ all eligible countries: Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Cuba, Ecuador, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Uruguay, Venezuela",2271969,80,2839961,36,"M",2008
169476,,22040,"UNITED NATIONS ECONOMIC COMMISSIONFOR LATIN AMERICA AND THE CARIBBEAN","Chile","Latin America Countries","RAL",9000000,75,12000000,42,"M",2008
169851,"Arte en el filo de la ciencia",16061,"FESTIVAL DE MEXICO EN EL CENTRO HISTORICO AC ASOCIACION","Mexico","Mexico","Ciudad de México",190978.6,60,317768,18,"M",2008
169852,"Proyecto de intercambio artístico y de formación con compañías europeas en México: Transversales",16061,"TEATRO LINEA DE SOMBRA AC","Mexico","Mexico","México: Pachuca Hidalgo, México D. F. y León Guanajuato.",159000,52,304457.27,18,"M",2008
170099,"Festival Internacional Cervantino Callejero del CLETA (Participación de la Unión Europea)",16061,"AGENCIA PERIODISTICA DE INFORMACION ALTERNATIVA AC","Mexico","Mexico","Ciudades de Guanajuato y México DF con extensiones a las zonas indígenas de Michoacán, Oaxaca, Guerrero y Chiapas.",157130.9,79,199506,17,"M",2008
170216,"VI Encuentro Hispanoamericano de Cine y Video Documental Independiente: Contra el Silencio Todas las Voces",16061,"VOCES CONTRA EL SILENCIO VIDEO INDEPENDIENTE ASOCIACION CIVIL","Mexico","Mexico","México, Ciudad de México y 15 ciudades del interior del país, a saber: Tijuana, Gómez Palacio, Torreón, Colima, Puebla, Guadalajara, Mérida, Hermosillo, Guanajuato, Oaxaca, San Cristóbal de las Casas, Cuernavaca, San Luis Potosí, Morelia",175707,52,336217,18,"M",2008
170489,"C - PRO - Intervenção na Promoção - Competências para o Progresso - Curricular e Empresarial",11420,"UNIVERSIDADE CATOLICA PORTUGUESA","Portugal","Latin America Countries","Colombia, Argentina, Peru, Honduras, España, Portugal",553231,73,757850,36,"M",2008
170635,"Prisma",16061,"EJE SIETE LA VIALIDAD DEL ARTE SC","Mexico","Mexico","México: región centro, sureste y noroeste; Oaxaca, Ciudad de México,  Sinaloa, Sonora, y  Baja California.
",160063,75,214476,16,"M",2008
171141,"Consolidación de la red de Reguladores de Telecomunicaciones de América Latina",22040,"ASOCIACION DE REGULADORES REGULATELAD","Costa Rica","Latin America Countries","LATIN AMERICA REGION",1000000,80,1252800,44,"M",2008
171416,"Festival Cinema Europa",16061,"BANCO NACIONAL DE OBRAS Y SERVICIOSPUBLICOS SNC FIDEICOMISO PARA LA CINETECA NACIONAL","Mexico","Mexico","México, D.F., Monterrey (Nuevo León), Guadalajara (Jalisco), Puebla, (Puebla)",85439.93,80,106799.91,18,"M",2008
172257,"Módulo regional sobre población afro-descendiente de America Latina",15150,"UNITED NATIONS DEVELOPMENT PROGRAMME","United States","Latin America Countries","Latin American countries",280000,77,366000,11,"M",2008
151687,"Un paisaje integrado de conservación y desarrollo sostenible: fortalecimiento de un sistema regional de áreas protegidas y territorios indígenas en la cuenca tri-nacional del Río Putumayo",41040,"UMWELTSTIFTUNG WWF DEUTSCHLAND - STIFTUNG FUR DEN SCHUTZ DER BIOLOGISCHEN VIELFALT UND DER NATURLICHEN UNWELT","Germany","South America Region","Zona transfronteriza de la cuenca media del Putumayo
entre los países Colombia, Ecuador y Perú
Colombia: Dept. de Putumayo, Municipio Puerto Leguízamo;
Ecuador: Cant. Cuyabeno, Lago Agrio, Putumayo y Aguarico;
Perú: Dept. de Loreto, Provincia de Maynas",2500000,74,3400000,48,"M",2008
151915,"Medios de vida sostenibles para mitigar el cambio climático en las microcuencas de la parte alta y media de la cuenca del Río Coco en el Norte de Nicaragua",92020,"CARE FRANCE ASSOCIATION","France","Nicaragua","San Lucas, Totogalpa, Palacagüina, Yalagüina, Telpaneca, San Fernando y Ciudad Antigua.",614376,80,767969,48,"M",2008
151979,"Bosques y Territorios Étnicos en el Chocó-Darién Columbo-Ecuatoriano: Protección Territorial, Manejo y Comercialización Responsable de Productos Forestales",31291,"OXFAM GB LBG","United Kingdom","South America Region","Colombia y Ecuador, Región de Choco-Darién (Pacífico Colombo-Ecuatoriano). Departamentos de
Chocó, Cauca, Risaralda, Urabá-Antioquia y Nariño en Colombia y la Provincia de Esmeraldas en
Ecuador.",2400000,80,3000000,42,"M",2008
152298,"Desarollo de un modelo integral de gestión mancomunada sostenible de los recursos forestales e hídricos identificados en el territorio de la Mancomunidad de Municipios de la Frontera Norte de Guatamala",14015,"FUNDACION MUNDUBAT","Spain","Guatemala","Mancomunidad Frontera del Norte, Huehuetenango, Guatemala. ",945702.45,80,1182275.85,36,"M",2008
152459,"Promovendo a inclusão socio-ambiental das populações em zonas
de ocupação da Amazônia brasileira por meio da gestão territorial e
adoção de práticas de manejo sustentável dos recursos florestais",31210,"INSTITUTO INTERNACIONAL DE EDUCACAO DO BRASIL","Brazil","Brazil","Brazil, the south of the State of Amazonas, particularly in the municipalities of Humatá and Canutama and in the south of the State of Pará, in the municipalities of São Felix de Xingu, Tucumã and Ourilândia do Norte. This region concerns the Arc of Deforestation, the frontline of explotation of the forest.",2498103.28,76,3271053.13,48,"M",2008
